80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
6.0,1.3996298483798764,2.7870724809311427,layer1.0.relu,ResNet18,None,Untrained,PyTorch
6.0,1.3748394318554702,2.7319184082765946,layer1.1.relu,ResNet18,None,Untrained,PyTorch
13.0,1.4388300608069706,3.1995649572608382,layer2.0.relu,ResNet18,None,Untrained,PyTorch
11.0,1.3076748856455567,2.9214665678772587,layer2.1.relu,ResNet18,None,Untrained,PyTorch
26.0,1.3290835429053072,3.4564786684804942,layer3.0.relu,ResNet18,None,Untrained,PyTorch
11.0,1.3100610792012384,2.599629837018758,layer3.1.relu,ResNet18,None,Untrained,PyTorch
32.0,1.5545695020355834,2.8760364758009307,layer4.0.relu,ResNet18,None,Untrained,PyTorch
14.0,1.2915505098288433,2.344804570080618,layer4.1.relu,ResNet18,None,Untrained,PyTorch
10.0,1.4330307304012853,3.010917065484917,layer1.0.relu,ResNet50,None,Untrained,PyTorch
9.0,1.396773077059393,2.5442246353089413,layer1.1.relu,ResNet50,None,Untrained,PyTorch
6.0,1.4701154669230927,2.1835715722072133,layer1.2.relu,ResNet50,None,Untrained,PyTorch
9.0,1.8083152263520954,2.2210949439196623,layer2.0.relu,ResNet50,None,Untrained,PyTorch
8.0,1.6688535800535231,2.1147201746618163,layer2.1.relu,ResNet50,None,Untrained,PyTorch
8.0,1.3104925847919189,2.090695809724565,layer2.2.relu,ResNet50,None,Untrained,PyTorch
5.0,1.7735271507212742,1.9949267217803868,layer2.3.relu,ResNet50,None,Untrained,PyTorch
10.0,1.6445204969591305,2.0783815293953363,layer3.0.relu,ResNet50,None,Untrained,PyTorch
5.0,1.7482160275717509,1.938245296792622,layer3.1.relu,ResNet50,None,Untrained,PyTorch
4.0,1.8124876106321124,1.88695980830221,layer3.2.relu,ResNet50,None,Untrained,PyTorch
3.0,1.8389776603621946,1.7065652917944285,layer3.3.relu,ResNet50,None,Untrained,PyTorch
2.0,1.8205354164103598,1.5898980803270546,layer3.4.relu,ResNet50,None,Untrained,PyTorch
1.0,1.836564319381088,1.5286050721390398,layer3.5.relu,ResNet50,None,Untrained,PyTorch
2.0,1.5921499154215162,1.5749035457268987,layer4.0.relu,ResNet50,None,Untrained,PyTorch
1.0,1.7687569053466599,1.5439791395434088,layer4.1.relu,ResNet50,None,Untrained,PyTorch
1.0,1.8326173627077644,1.4344087349557157,layer4.2.relu,ResNet50,None,Untrained,PyTorch
15.0,1.2751644143308463,5.896697003985138,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
22.0,1.1397395859967916,7.075903156846566,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
41.0,1.0130799699002715,16.72629128221216,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
47.0,0.9340029082300438,20.812757417381533,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
71.0,1.0095022027867102,28.664492264765993,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
82.0,0.9664085583446291,29.97183084177825,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
184.0,0.8618975878778291,70.31869026916799,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
156.0,0.7413425194156811,126.93301574327047,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
23.0,1.9611542559904573,6.944284815704659,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
33.0,1.856647785332097,7.8556952999271825,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
49.0,1.1697642697298207,8.805287734154886,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
86.0,1.8386849220551678,17.212072616132083,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
115.0,1.6307017479666595,17.405130247581656,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
147.0,1.0043335758274712,19.893641052019873,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
163.0,0.9517613796158714,23.372329214773348,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
234.0,1.5289143667391902,40.70563338682391,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
270.0,1.5089146167469805,43.27350086852007,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
303.0,1.4643496228139006,48.23910560855217,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
307.0,1.5130238218255287,47.041745126354535,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
325.0,0.9627854523808033,51.16509976100534,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
343.0,0.9250481276470001,56.46914929219787,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
451.0,0.9552622625693876,94.94952690264836,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
373.0,0.9541653897574343,103.86896970168529,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
210.0,0.9745859427932863,122.61225507180102,layer4.2.relu,ResNet50,Object Classification,Supervised,PyTorch
15.0,1.292878624887561,6.062068524770653,encode_2,ResNet18,Object Classification,Supervised,VVS
23.0,1.0934728915829641,6.890303801358521,encode_3,ResNet18,Object Classification,Supervised,VVS
41.0,1.0252725516944516,17.549559777193963,encode_4,ResNet18,Object Classification,Supervised,VVS
46.0,0.9439130568442163,22.33992224591905,encode_5,ResNet18,Object Classification,Supervised,VVS
70.0,1.0064260536897134,30.037760071316843,encode_6,ResNet18,Object Classification,Supervised,VVS
88.0,0.9079716134510747,37.565230717567175,encode_7,ResNet18,Object Classification,Supervised,VVS
171.0,0.8921017664006905,62.10734626440247,encode_8,ResNet18,Object Classification,Supervised,VVS
169.0,0.7930910989463577,103.94339939229556,encode_9,ResNet18,Object Classification,Supervised,VVS
14.0,1.2926462687090394,4.45886448611973,encode_2,ResNet18,Local Aggregation,Self-Supervised,VVS
17.0,1.1906004588343084,7.318860129031458,encode_3,ResNet18,Local Aggregation,Self-Supervised,VVS
33.0,1.1263552963644845,15.709035340776081,encode_4,ResNet18,Local Aggregation,Self-Supervised,VVS
34.0,1.142907398432387,12.94502819671973,encode_5,ResNet18,Local Aggregation,Self-Supervised,VVS
56.0,1.0948025962144168,15.631966185552068,encode_6,ResNet18,Local Aggregation,Self-Supervised,VVS
4.0,1.3546632555188378,1.934108508062345,encode_7,ResNet18,Local Aggregation,Self-Supervised,VVS
5.0,1.2932351251493814,1.8752720001938,encode_8,ResNet18,Local Aggregation,Self-Supervised,VVS
135.0,0.9236364204999703,62.55351100230372,encode_9,ResNet18,Local Aggregation,Self-Supervised,VVS
12.0,1.4434172362055901,5.202332171876123,encode_2,ResNet18,Instance Recognition,Self-Supervised,VVS
16.0,1.2451957888327236,7.7328284025528236,encode_3,ResNet18,Instance Recognition,Self-Supervised,VVS
35.0,1.0937576578641748,15.995613756689972,encode_4,ResNet18,Instance Recognition,Self-Supervised,VVS
43.0,0.9844356453860632,21.132599047638575,encode_5,ResNet18,Instance Recognition,Self-Supervised,VVS
61.0,1.0744303533712412,19.28464883107132,encode_6,ResNet18,Instance Recognition,Self-Supervised,VVS
40.0,1.1192011323916062,3.838953442986357,encode_7,ResNet18,Instance Recognition,Self-Supervised,VVS
34.0,1.1776919082573583,3.081166562461668,encode_8,ResNet18,Instance Recognition,Self-Supervised,VVS
138.0,0.9248981668052395,60.844321102823436,encode_9,ResNet18,Instance Recognition,Self-Supervised,VVS
6.0,1.592235534919794,2.8549275615925875,encode_2,ResNet18,Auto-Encoder,Self-Supervised,VVS
8.0,1.493573571088531,3.2967493067070777,encode_3,ResNet18,Auto-Encoder,Self-Supervised,VVS
13.0,1.3905078103660804,4.507988538318943,encode_4,ResNet18,Auto-Encoder,Self-Supervised,VVS
12.0,1.3899073279599772,4.109872418376742,encode_5,ResNet18,Auto-Encoder,Self-Supervised,VVS
23.0,1.2866486663264864,5.290268844485985,encode_6,ResNet18,Auto-Encoder,Self-Supervised,VVS
10.0,1.3664226955265475,3.926096384225492,encode_7,ResNet18,Auto-Encoder,Self-Supervised,VVS
18.0,1.325044324758394,4.961915164560759,encode_8,ResNet18,Auto-Encoder,Self-Supervised,VVS
55.0,1.2115257294370279,7.996334672916582,encode_9,ResNet18,Auto-Encoder,Self-Supervised,VVS
8.0,1.4978698652076725,3.642178540789318,encode_2,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
11.0,1.3727235015654764,4.268609199888001,encode_3,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
29.0,1.1645199353345643,10.844042579456119,encode_4,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
27.0,1.1937535433306163,11.153651818559467,encode_5,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
25.0,1.2925547897576328,14.181984665348578,encode_6,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
29.0,1.2347392097352623,21.71278972982664,encode_7,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
2.0,1.4789007284704658,1.6395463535525612,encode_8,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
1.0,2.129818332147014,1.11054631652832,encode_9,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
13.0,1.1962157889406433,3.019790103389433,encode_2,ResNet18,Colorization,Self-Supervised,VVS
22.0,1.0559025774359314,4.674988351346593,encode_3,ResNet18,Colorization,Self-Supervised,VVS
56.0,0.8742177734471311,21.39468650287577,encode_4,ResNet18,Colorization,Self-Supervised,VVS
57.0,0.8510191924026904,31.619133085549915,encode_5,ResNet18,Colorization,Self-Supervised,VVS
95.0,0.9596798877581861,25.284583213251622,encode_6,ResNet18,Colorization,Self-Supervised,VVS
65.0,1.1059885961674905,13.212643599698657,encode_7,ResNet18,Colorization,Self-Supervised,VVS
62.0,1.2010350040698288,9.744382390851548,encode_8,ResNet18,Colorization,Self-Supervised,VVS
37.0,1.3197897889362757,10.187639429107916,encode_9,ResNet18,Colorization,Self-Supervised,VVS
6.0,1.7398371055643775,3.22801810143205,encode_2,ResNet18,Relative Position,Self-Supervised,VVS
14.0,1.3564245014225396,4.40225371723774,encode_3,ResNet18,Relative Position,Self-Supervised,VVS
31.0,1.1293839166675432,13.739029135319322,encode_4,ResNet18,Relative Position,Self-Supervised,VVS
39.0,1.0220554009337215,18.824378458355696,encode_5,ResNet18,Relative Position,Self-Supervised,VVS
69.0,1.0204062945635706,27.714435466735157,encode_6,ResNet18,Relative Position,Self-Supervised,VVS
74.0,0.975017403061096,33.33391128019417,encode_7,ResNet18,Relative Position,Self-Supervised,VVS
81.0,1.1585335303469817,24.35039536568686,encode_8,ResNet18,Relative Position,Self-Supervised,VVS
92.0,1.1052156773767077,19.043076521006814,encode_9,ResNet18,Relative Position,Self-Supervised,VVS
10.0,2.2737542113305773,4.968205712149635,encode_2,ResNet18,Depth Prediction,Supervised,VVS
15.0,1.277005989186634,5.786284753519313,encode_3,ResNet18,Depth Prediction,Supervised,VVS
39.0,1.0891356846745541,14.677103992559235,encode_4,ResNet18,Depth Prediction,Supervised,VVS
38.0,1.0631594633685904,17.89550043810699,encode_5,ResNet18,Depth Prediction,Supervised,VVS
81.0,0.990245188275248,29.41394057556998,encode_6,ResNet18,Depth Prediction,Supervised,VVS
94.0,0.9091068741101157,40.4584657592756,encode_7,ResNet18,Depth Prediction,Supervised,VVS
156.0,1.5471092960538628,41.87838914905908,encode_8,ResNet18,Depth Prediction,Supervised,VVS
176.0,0.9207519613613403,57.8041410317515,encode_9,ResNet18,Depth Prediction,Supervised,VVS
13.0,2.080446449787281,4.879340347365832,encode_2,ResNet18,SimCLR,Self-Supervised,VVS
21.0,1.0878868720477792,7.3744755301720675,encode_3,ResNet18,SimCLR,Self-Supervised,VVS
41.0,1.0324769638776259,12.04197213922615,encode_4,ResNet18,SimCLR,Self-Supervised,VVS
37.0,1.0601203003836186,14.537417700590334,encode_5,ResNet18,SimCLR,Self-Supervised,VVS
74.0,0.9988250106736065,28.833131132137016,encode_6,ResNet18,SimCLR,Self-Supervised,VVS
67.0,1.045059796138316,30.002658746400954,encode_7,ResNet18,SimCLR,Self-Supervised,VVS
109.0,1.6294630940514647,40.54900710740404,encode_8,ResNet18,SimCLR,Self-Supervised,VVS
105.0,1.0357436940904934,36.67985324454851,encode_9,ResNet18,SimCLR,Self-Supervised,VVS
15.0,1.2062576225280002,5.06732657903491,layer1.0.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
20.0,1.1323161580136731,6.124841896081332,layer1.1.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
35.0,1.8762188024522908,14.669534964350067,layer2.0.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
36.0,1.1314119907558735,14.999196015221557,layer2.1.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
48.0,1.74958294335568,8.245644382064006,layer3.0.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
4.0,1.2476705764289078,1.7229394188085938,layer3.1.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
60.0,1.7102635822689771,4.02111336332762,layer4.0.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
215.0,0.6869906794674789,155.28283003320155,layer4.1.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
16.0,1.2442942526898177,4.344816054401445,layer1.0.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
21.0,1.1089473555880087,7.534302052163685,layer1.1.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
33.0,1.140609615971892,12.97191375188262,layer2.0.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
39.0,1.0414788387317564,19.685056757677895,layer2.1.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
74.0,0.9943102194411205,29.936077853164193,layer3.0.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
55.0,1.130386323470044,11.817963233385965,layer3.1.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
85.0,1.1288047927136466,14.038370875890532,layer4.0.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
81.0,1.0877973321116532,37.15235355354173,layer4.1.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
