80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
5.0,1.385358960251274,2.2539458656785767,layer1.0.relu,ResNet18,None,Untrained,PyTorch
5.0,1.3618506404500885,2.2024799582236416,layer1.1.relu,ResNet18,None,Untrained,PyTorch
11.0,1.3644814028332397,2.449421390274164,layer2.0.relu,ResNet18,None,Untrained,PyTorch
7.0,1.335515522346128,2.327648983289431,layer2.1.relu,ResNet18,None,Untrained,PyTorch
16.0,1.2777121769818938,2.494667957626808,layer3.0.relu,ResNet18,None,Untrained,PyTorch
8.0,1.2379811047937417,2.2775213850876344,layer3.1.relu,ResNet18,None,Untrained,PyTorch
30.0,1.344127747198582,2.6675351003621692,layer4.0.relu,ResNet18,None,Untrained,PyTorch
13.0,1.2267058087219114,2.2720950854726776,layer4.1.relu,ResNet18,None,Untrained,PyTorch
8.0,1.3545295513178515,2.482579163475474,layer1.0.relu,ResNet50,None,Untrained,PyTorch
6.0,1.854936471147925,2.085787110474416,layer1.1.relu,ResNet50,None,Untrained,PyTorch
4.0,1.7406105226930708,1.8826892431893103,layer1.2.relu,ResNet50,None,Untrained,PyTorch
8.0,1.7584691393247185,2.0099951788139205,layer2.0.relu,ResNet50,None,Untrained,PyTorch
4.0,1.3889417807851838,1.7959160260910165,layer2.1.relu,ResNet50,None,Untrained,PyTorch
3.0,1.3577937043410366,1.6850949849870427,layer2.2.relu,ResNet50,None,Untrained,PyTorch
2.0,1.3640609711517933,1.6378139533499179,layer2.3.relu,ResNet50,None,Untrained,PyTorch
3.0,1.5965240119618322,1.6873345403248694,layer3.0.relu,ResNet50,None,Untrained,PyTorch
2.0,1.7888238993596517,1.6517330399773509,layer3.1.relu,ResNet50,None,Untrained,PyTorch
2.0,1.727126887392141,1.5670920665320907,layer3.2.relu,ResNet50,None,Untrained,PyTorch
1.0,1.8567356146843186,1.4962620242079874,layer3.3.relu,ResNet50,None,Untrained,PyTorch
1.0,1.807784683221692,1.4596359253327462,layer3.4.relu,ResNet50,None,Untrained,PyTorch
1.0,1.943838151098746,1.420914444759711,layer3.5.relu,ResNet50,None,Untrained,PyTorch
1.0,1.7119925833762946,1.4532757740698137,layer4.0.relu,ResNet50,None,Untrained,PyTorch
1.0,1.819760583019666,1.4454510817790465,layer4.1.relu,ResNet50,None,Untrained,PyTorch
1.0,1.8116994888304891,1.3960123079043638,layer4.2.relu,ResNet50,None,Untrained,PyTorch
14.0,1.3890444301964757,4.55128414031288,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
20.0,1.155971456260442,5.825353326026217,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
37.0,1.053617699777986,14.336954974090126,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
44.0,0.9595842167756595,18.93155554142198,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
68.0,1.0382003692644832,25.940470020137134,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
78.0,1.0146052522052276,25.376310639909306,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
178.0,0.9107925565018369,62.81019686786806,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
147.0,0.7967504873222768,103.09697595488089,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
19.0,1.9875872254469367,5.217866645902385,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
29.0,1.862977299059673,6.193870945874143,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
45.0,1.2447427521647971,7.201848924225697,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
91.0,1.805938007217355,15.706057171206208,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
106.0,1.6188364121488226,16.26412737440269,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
137.0,1.0015201760962182,18.7417814748565,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
150.0,0.9643458288098063,23.024817287097715,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
225.0,1.5188868467881236,35.39187176088386,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
262.0,1.5238468213552894,38.23633489142551,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
294.0,1.357034654378396,45.11840069546107,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
292.0,1.3617856381109248,41.2829148529649,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
306.0,0.9772621035813148,45.63606882817424,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
318.0,0.968606420935095,48.72941981863536,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
451.0,0.970152714654612,84.71469011392082,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
365.0,0.9735321401063272,91.30433367827892,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
202.0,0.9994135870080424,111.77150793881181,layer4.2.relu,ResNet50,Object Classification,Supervised,PyTorch
13.0,1.3859232020363534,4.439569303443295,encode_2,ResNet18,Object Classification,Supervised,VVS
21.0,1.123789175409833,5.5572362144006595,encode_3,ResNet18,Object Classification,Supervised,VVS
38.0,1.0487386512268821,15.191969510142476,encode_4,ResNet18,Object Classification,Supervised,VVS
42.0,0.9747601316959934,20.148724658661536,encode_5,ResNet18,Object Classification,Supervised,VVS
68.0,1.0382873445408651,28.207133120592072,encode_6,ResNet18,Object Classification,Supervised,VVS
84.0,0.9503564738289487,37.749403929677996,encode_7,ResNet18,Object Classification,Supervised,VVS
165.0,0.9089060814681658,56.4887040794318,encode_8,ResNet18,Object Classification,Supervised,VVS
159.0,0.8342617913625769,87.4618221155702,encode_9,ResNet18,Object Classification,Supervised,VVS
12.0,1.4281099415318856,3.745364224079598,encode_2,ResNet18,Local Aggregation,Self-Supervised,VVS
